item_number ,id               ,title                                                                                                                                                                    ,authors                                                                                                                                                                                                                                                                                                              ,abstract_link                    ,pdf_link                         ,html_link                           ,other_formats_link                  ,comments                                                                                                                                                                                                                                                                                                     ,subjects                                                                                                                                                                                ,date
         11 ,arXiv:2409.09082 ,Shadowed AHP for multi-criteria supplier selection                                                                                                                       ,Mohamed Abdel Hameed El-Hawy                                                                                                                                                                                                                                                                                         ,https://arxiv.org/abs/2409.09082 ,https://arxiv.org/pdf/2409.09082 ,                                    ,https://arxiv.org/format/2409.09082 ,14 pages                                                                                                                                                                                                                                                                                                     ,Artificial Intelligence (cs.AI)                                                                                                                                                         ,"Tue, 17 Sep 2024"
         12 ,arXiv:2409.10515 ,An Efficient Self-Learning Framework For Interactive Spoken Dialog Systems                                                                                               ,"Hitesh Tulsiani, David M. Chan, Shalini Ghosh, Garima Lalwani, Prabhat Pandey, Ankish Bansal, Sri Garimella, Ariya Rastrow, Björn Hoffmeister"                                                                                                                                                                      ,https://arxiv.org/abs/2409.10515 ,https://arxiv.org/pdf/2409.10515 ,https://arxiv.org/html/2409.10515v1 ,https://arxiv.org/format/2409.10515 ,Presented at ICML 2024                                                                                                                                                                                                                                                                                       ,Audio and Speech Processing (eess.AS); Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Sound (cs.SD)                                                                 ,"Tue, 17 Sep 2024"
         13 ,arXiv:2409.10496 ,MusicLIME: Explainable Multimodal Music Understanding                                                                                                                    ,"Theodoros Sotirou, Vassilis Lyberatos, Orfeas Menis Mastromichalakis, Giorgos Stamou"                                                                                                                                                                                                                               ,https://arxiv.org/abs/2409.10496 ,https://arxiv.org/pdf/2409.10496 ,https://arxiv.org/html/2409.10496v1 ,https://arxiv.org/format/2409.10496 ,GitHub repository: this https URL                                                                                                                                                                                                                                                                            ,Sound (cs.SD); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Audio and Speech Processing (eess.AS)                                                                         ,"Tue, 17 Sep 2024"
         14 ,arXiv:2409.10489 ,Flash STU: Fast Spectral Transform Units                                                                                                                                 ,"Y. Isabel Liu, Windsor Nguyen, Yagiz Devre, Evan Dogariu, Anirudha Majumdar, Elad Hazan"                                                                                                                                                                                                                            ,https://arxiv.org/abs/2409.10489 ,https://arxiv.org/pdf/2409.10489 ,https://arxiv.org/html/2409.10489v1 ,https://arxiv.org/format/2409.10489 ,                                                                                                                                                                                                                                                                                                             ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI)                                                                                                                               ,"Tue, 17 Sep 2024"
         15 ,arXiv:2409.10488 ,Do Pre-trained Vision-Language Models Encode Object States?                                                                                                              ,"Kaleb Newman, Shijie Wang, Yuan Zang, David Heffren, Chen Sun"                                                                                                                                                                                                                                                      ,https://arxiv.org/abs/2409.10488 ,https://arxiv.org/pdf/2409.10488 ,https://arxiv.org/html/2409.10488v1 ,https://arxiv.org/format/2409.10488 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
         16 ,arXiv:2409.10481 ,Exploring 3D Face Reconstruction and Fusion Methods for Face Verification: A Case-Study in Video Surveillance                                                            ,"Simone Maurizio La Cava, Sara Concas, Ruben Tolosana, Roberto Casula, Giulia Orrù, Martin Drahansky, Julian Fierrez, Gian Luca Marcialis"                                                                                                                                                                           ,https://arxiv.org/abs/2409.10481 ,https://arxiv.org/pdf/2409.10481 ,https://arxiv.org/html/2409.10481v1 ,https://arxiv.org/format/2409.10481 ,"Accepted at T-CAP - Towards a Complete Analysis of People: Fine-grained Understanding for Real-World Applications, workshop in conjunction with the 18th European Conference on Computer Vision ECCV 2024"                                                                                                  ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
         17 ,arXiv:2409.10473 ,MacDiff: Unified Skeleton Modeling with Masked Conditional Diffusion                                                                                                     ,"Lehong Wu, Lilang Lin, Jiahang Zhang, Yiyang Ma, Jiaying Liu"                                                                                                                                                                                                                                                       ,https://arxiv.org/abs/2409.10473 ,https://arxiv.org/pdf/2409.10473 ,https://arxiv.org/html/2409.10473v1 ,https://arxiv.org/format/2409.10473 ,Accepted by ECCV 2024                                                                                                                                                                                                                                                                                        ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
         18 ,arXiv:2409.10419 ,HiFi-CS: Towards Open Vocabulary Visual Grounding For Robotic Grasping Using Vision-Language Models                                                                      ,"Vineet Bhat, Prashanth Krishnamurthy, Ramesh Karri, Farshad Khorrami"                                                                                                                                                                                                                                               ,https://arxiv.org/abs/2409.10419 ,https://arxiv.org/pdf/2409.10419 ,https://arxiv.org/html/2409.10419v1 ,https://arxiv.org/format/2409.10419 ,                                                                                                                                                                                                                                                                                                             ,Robotics (cs.RO); Artificial Intelligence (cs.AI)                                                                                                                                       ,"Tue, 17 Sep 2024"
         19 ,arXiv:2409.10416 ,Geometric Clustering for Hardware-Efficient Implementation of Chromatic Dispersion Compensation                                                                          ,"Geraldo Gomes, Pedro Freire, Jaroslaw E. Prilepsky, Sergei K. Turitsyn"                                                                                                                                                                                                                                             ,https://arxiv.org/abs/2409.10416 ,https://arxiv.org/pdf/2409.10416 ,https://arxiv.org/html/2409.10416v1 ,https://arxiv.org/format/2409.10416 ,                                                                                                                                                                                                                                                                                                             ,Signal Processing (eess.SP); Artificial Intelligence (cs.AI)                                                                                                                            ,"Tue, 17 Sep 2024"
         20 ,arXiv:2409.10403 ,A Knowledge-Enhanced Disease Diagnosis Method Based on Prompt Learning and BERT Integration                                                                              ,Zhang Zheng                                                                                                                                                                                                                                                                                                          ,https://arxiv.org/abs/2409.10403 ,https://arxiv.org/pdf/2409.10403 ,https://arxiv.org/html/2409.10403v1 ,https://arxiv.org/format/2409.10403 ,"Knowledge Enhancement,Disease Diagnosis,Prompt Learning,BERT,Knowledge Graph"                                                                                                                                                                                                                               ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         21 ,arXiv:2409.10394 ,MOST: MR reconstruction Optimization for multiple downStream Tasks via continual learning                                                                                ,"Hwihun Jeong, Se Young Chun, Jongho Lee"                                                                                                                                                                                                                                                                            ,https://arxiv.org/abs/2409.10394 ,https://arxiv.org/pdf/2409.10394 ,                                    ,https://arxiv.org/format/2409.10394 ,                                                                                                                                                                                                                                                                                                             ,Image and Video Processing (eess.IV); Artificial Intelligence (cs.AI)                                                                                                                   ,"Tue, 17 Sep 2024"
         22 ,arXiv:2409.10365 ,Robust image representations with counterfactual contrastive learning                                                                                                    ,"Mélanie Roschewitz, Fabio De Sousa Ribeiro, Tian Xia, Galvin Khara, Ben Glocker"                                                                                                                                                                                                                                    ,https://arxiv.org/abs/2409.10365 ,https://arxiv.org/pdf/2409.10365 ,https://arxiv.org/html/2409.10365v1 ,https://arxiv.org/format/2409.10365 ,Code available at this https URL                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
         23 ,arXiv:2409.10350 ,Point2Graph: An End-to-end Point Cloud-based 3D Open-Vocabulary Scene Graph for Robot Navigation                                                                         ,"Yifan Xu, Ziming Luo, Qianwei Wang, Vineet Kamat, Carol Menassa"                                                                                                                                                                                                                                                    ,https://arxiv.org/abs/2409.10350 ,https://arxiv.org/pdf/2409.10350 ,                                    ,https://arxiv.org/format/2409.10350 ,"8 pages, 9 figures"                                                                                                                                                                                                                                                                                         ,Robotics (cs.RO); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV)                                                                                      ,"Tue, 17 Sep 2024"
         24 ,arXiv:2409.10343 ,Large Language Model Enhanced Hard Sample Identification for Denoising Recommendation                                                                                    ,"Tianrui Song, Wenshuo Chao, Hao Liu"                                                                                                                                                                                                                                                                                ,https://arxiv.org/abs/2409.10343 ,https://arxiv.org/pdf/2409.10343 ,https://arxiv.org/html/2409.10343v1 ,https://arxiv.org/format/2409.10343 ,                                                                                                                                                                                                                                                                                                             ,Information Retrieval (cs.IR); Artificial Intelligence (cs.AI)                                                                                                                          ,"Tue, 17 Sep 2024"
         25 ,arXiv:2409.10340 ,Hyperedge Modeling in Hypergraph Neural Networks by using Densest Overlapping Subgraphs                                                                                  ,"Mehrad Soltani, Luis Rueda"                                                                                                                                                                                                                                                                                         ,https://arxiv.org/abs/2409.10340 ,https://arxiv.org/pdf/2409.10340 ,https://arxiv.org/html/2409.10340v1 ,https://arxiv.org/format/2409.10340 ,                                                                                                                                                                                                                                                                                                             ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Social and Information Networks (cs.SI)                                                                                      ,"Tue, 17 Sep 2024"
         26 ,arXiv:2409.10338 ,The 20 questions game to distinguish large language models                                                                                                               ,"Gurvan Richardeau, Erwan Le Merrer, Camilla Penzo, Gilles Tredan"                                                                                                                                                                                                                                                   ,https://arxiv.org/abs/2409.10338 ,https://arxiv.org/pdf/2409.10338 ,https://arxiv.org/html/2409.10338v1 ,https://arxiv.org/format/2409.10338 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         27 ,arXiv:2409.10329 ,InfoDisent: Explainability of Image Classification Models by Information Disentanglement                                                                                 ,"Łukasz Struski, Jacek Tabor"                                                                                                                                                                                                                                                                                        ,https://arxiv.org/abs/2409.10329 ,https://arxiv.org/pdf/2409.10329 ,https://arxiv.org/html/2409.10329v1 ,https://arxiv.org/format/2409.10329 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
         28 ,arXiv:2409.10320 ,SEAL: Towards Safe Autonomous Driving via Skill-Enabled Adversary Learning for Closed-Loop Scenario Generation                                                           ,"Benjamin Stoler, Ingrid Navarro, Jonathan Francis, Jean Oh"                                                                                                                                                                                                                                                         ,https://arxiv.org/abs/2409.10320 ,https://arxiv.org/pdf/2409.10320 ,https://arxiv.org/html/2409.10320v1 ,https://arxiv.org/format/2409.10320 ,"8 pages, 4 figures, 2 tables"                                                                                                                                                                                                                                                                               ,Robotics (cs.RO); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)                                                                                                             ,"Tue, 17 Sep 2024"
         29 ,arXiv:2409.10308 ,Know your limits! Optimize the robot's behavior through self-awareness                                                                                                   ,"Esteve Valls Mascaro, Dongheui Lee"                                                                                                                                                                                                                                                                                 ,https://arxiv.org/abs/2409.10308 ,https://arxiv.org/pdf/2409.10308 ,https://arxiv.org/html/2409.10308v1 ,https://arxiv.org/format/2409.10308 ,Accepted to Humanoids 2024 and HFR 2024. Project Page: this https URL                                                                                                                                                                                                                                        ,Robotics (cs.RO); Artificial Intelligence (cs.AI)                                                                                                                                       ,"Tue, 17 Sep 2024"
         30 ,arXiv:2409.10304 ,How to do impactful research in artificial intelligence for chemistry and materials science                                                                              ,"Austin Cheng, Cher Tian Ser, Marta Skreta, Andrés Guzmán-Cordero, Luca Thiede, Andreas Burger, Abdulrahman Aldossary, Shi Xuan Leong, Sergio Pablo-García, Felix Strieth-Kalthoff, Alán Aspuru-Guzik"                                                                                                               ,https://arxiv.org/abs/2409.10304 ,https://arxiv.org/pdf/2409.10304 ,https://arxiv.org/html/2409.10304v1 ,https://arxiv.org/format/2409.10304 ,                                                                                                                                                                                                                                                                                                             ,Machine Learning (cs.LG); Materials Science (cond-mat.mtrl-sci); Artificial Intelligence (cs.AI); Chemical Physics (physics.chem-ph)                                                    ,"Tue, 17 Sep 2024"
         31 ,arXiv:2409.10297 ,"On Synthetic Texture Datasets: Challenges, Creation, and Curation"                                                                                                      ,"Blaine Hoak, Patrick McDaniel"                                                                                                                                                                                                                                                                                      ,https://arxiv.org/abs/2409.10297 ,https://arxiv.org/pdf/2409.10297 ,https://arxiv.org/html/2409.10297v1 ,https://arxiv.org/format/2409.10297 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
         32 ,arXiv:2409.10294 ,MGSA: Multi-granularity Graph Structure Attention for Knowledge Graph-to-Text Generation                                                                                 ,"Shanshan Wang, Chun Zhang, Ning Zhang"                                                                                                                                                                                                                                                                              ,https://arxiv.org/abs/2409.10294 ,https://arxiv.org/pdf/2409.10294 ,https://arxiv.org/html/2409.10294v1 ,https://arxiv.org/format/2409.10294 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         33 ,arXiv:2409.10290 ,Neuromorphic Spintronics                                                                                                                                                 ,"Atreya Majumdar, Karin Everschor-Sitte"                                                                                                                                                                                                                                                                             ,https://arxiv.org/abs/2409.10290 ,https://arxiv.org/pdf/2409.10290 ,https://arxiv.org/html/2409.10290v1 ,https://arxiv.org/format/2409.10290 ,"Neuromorphic Spintronics is a chapter of a book titled ""Artificial Intelligence and Intelligent Matter"". This is not the final version of the chapter. For the final version, please go to the book published by Springer (the DOI and other details will be put here once the book has been published.)" ,Materials Science (cond-mat.mtrl-sci); Mesoscale and Nanoscale Physics (cond-mat.mes-hall); Other Condensed Matter (cond-mat.other); Artificial Intelligence (cs.AI)                    ,"Tue, 17 Sep 2024"
         34 ,arXiv:2409.10281 ,DreamHead: Learning Spatial-Temporal Correspondence via Hierarchical Diffusion for Audio-driven Talking Head Synthesis                                                   ,"Fa-Ting Hong, Yunfei Liu, Yu Li, Changyin Zhou, Fei Yu, Dan Xu"                                                                                                                                                                                                                                                     ,https://arxiv.org/abs/2409.10281 ,https://arxiv.org/pdf/2409.10281 ,https://arxiv.org/html/2409.10281v1 ,https://arxiv.org/format/2409.10281 ,                                                                                                                                                                                                                                                                                                             ,Multimedia (cs.MM); Artificial Intelligence (cs.AI); Sound (cs.SD); Audio and Speech Processing (eess.AS)                                                                               ,"Tue, 17 Sep 2024"
         35 ,arXiv:2409.10271 ,Causal Discovery in Recommender Systems: Example and Discussion                                                                                                          ,"Emanuele Cavenaghi, Fabio Stella, Markus Zanker"                                                                                                                                                                                                                                                                    ,https://arxiv.org/abs/2409.10271 ,https://arxiv.org/pdf/2409.10271 ,https://arxiv.org/html/2409.10271v1 ,https://arxiv.org/format/2409.10271 ,"Accepted at the CONSEQUENCES '24 workshop, co-located with ACM RecSys '24"                                                                                                                                                                                                                                  ,Information Retrieval (cs.IR); Artificial Intelligence (cs.AI)                                                                                                                          ,"Tue, 17 Sep 2024"
         36 ,arXiv:2409.10267 ,Enhancing Personalized Recipe Recommendation Through Multi-Class Classification                                                                                          ,"Harish Neelam, Koushik Sai Veerella"                                                                                                                                                                                                                                                                                ,https://arxiv.org/abs/2409.10267 ,https://arxiv.org/pdf/2409.10267 ,                                    ,https://arxiv.org/format/2409.10267 ,                                                                                                                                                                                                                                                                                                             ,Information Retrieval (cs.IR); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)                                                                                                ,"Tue, 17 Sep 2024"
         37 ,arXiv:2409.10246 ,FGR-Net:Interpretable fundus imagegradeability classification based on deepreconstruction learning                                                                       ,"Saif Khalid, Hatem A. Rashwan, Saddam Abdulwahab, Mohamed Abdel-Nasser, Facundo Manuel Quiroga, Domenec Puig"                                                                                                                                                                                                       ,https://arxiv.org/abs/2409.10246 ,https://arxiv.org/pdf/2409.10246 ,                                    ,https://arxiv.org/format/2409.10246 ,                                                                                                                                                                                                                                                                                                             ,Image and Video Processing (eess.IV); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV)                                                                  ,"Tue, 17 Sep 2024"
         38 ,arXiv:2409.10242 ,Hedging Is Not All You Need: A Simple Baseline for Online Learning Under Haphazard Inputs                                                                                ,"Himanshu Buckchash, Momojit Biswas, Rohit Agarwal, Dilip K. Prasad"                                                                                                                                                                                                                                                 ,https://arxiv.org/abs/2409.10242 ,https://arxiv.org/pdf/2409.10242 ,https://arxiv.org/html/2409.10242v1 ,https://arxiv.org/format/2409.10242 ,                                                                                                                                                                                                                                                                                                             ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI)                                                                                                                               ,"Tue, 17 Sep 2024"
